基準日,新型コロナ資金,がんばろう資金
2020/3/13,31000,0
2020/3/19,509700,0
2020/3/27,1812500,0
2020/4/3,1437400,0
2020/4/10,1117300,0
2020/4/17,2751600,0
2020/4/24,4354200,0
2020/5/1,5290330,0
2020/5/8,773900,155000
2020/5/15,1816000,2043858
2020/5/22,1612150,4119650
2020/5/29,4664600,9385200
2020/6/5,1014050,2956500
2020/6/12,1720600,5988300
2020/6/19,1383600,5366800
2020/6/26,1789600,6936270
2020/7/3,1579000,4595300
2020/7/10,746100,3683060
2020/7/17,1003640,5594220
2020/7/24,1154000,4236920
2020/7/31,1425500,5782880
2020/8/7,533000,2122580
2020/8/14,468800,2448720
2020/8/21,497000,3262000
2020/8/28,1367600,5906808
2020/9/4,406700,1836400
2020/9/11,498450,1996680
2020/9/18,236300,2696400
2020/9/25,691000,2123690
2020/10/2,470500,2725910
2020/10/9,217000,1531130
2020/10/16,394000,1707300
2020/10/23,486300,2029761
2020/10/30,667900,2528600
2020/11/6,338100,874700
2020/11/13,400800,1651200
2020/11/20,345400,1924070
2020/11/27,420800,2544550
2020/12/4,701250,1780520
2020/12/11,359700,1690800
2020/12/18,490670,1746400
2020/12/25,832300,3351498
2021/1/1,5500,201050
2021/1/8,398500,887180
2021/1/15,127500,675600
2021/1/22,378900,893160
2021/1/29,405300,1406300
2021/2/5,97500,874555
2021/2/12,199000,1314350
2021/2/19,358500,2253490
2021/2/26,320300,2609340
2021/3/5,244500,2168100
2021/3/12,202600,2953560
2021/3/19,501950,3951880
2021/3/26,734300,7056800
2021/4/2,572300,8675490
2021/4/9,268500,1579450
2021/4/16,69800,231080
2021/4/23,272300,209700
2021/5/12,362850,192400
2021/5/14,172350,79000
2021/5/21,458250,152600
2021/5/28,771600,31200
2021/6/4,324970,0
2021/6/11,554450,0
2021/6/18,915250,0
