基準日,業種コード,件数
2020/3/13,2,2
2020/3/13,3,1
2020/3/13,6,1
2020/3/19,1,9
2020/3/19,2,4
2020/3/19,3,3
2020/3/19,4,5
2020/3/19,5,3
2020/3/19,6,5
2020/3/19,7,2
2020/3/19,8,1
2020/3/27,1,43
2020/3/27,2,16
2020/3/27,3,22
2020/3/27,4,9
2020/3/27,5,14
2020/3/27,6,24
2020/3/27,7,4
2020/3/27,8,11
2020/4/3,1,23
2020/4/3,2,15
2020/4/3,3,16
2020/4/3,4,18
2020/4/3,5,13
2020/4/3,6,9
2020/4/3,7,8
2020/4/3,8,6
2020/4/10,1,25
2020/4/10,2,15
2020/4/10,3,10
2020/4/10,4,12
2020/4/10,5,5
2020/4/10,6,10
2020/4/10,7,9
2020/4/10,8,3
2020/4/17,1,68
2020/4/17,2,41
2020/4/17,3,26
2020/4/17,4,26
2020/4/17,5,28
2020/4/17,6,11
2020/4/17,7,16
2020/4/17,8,11
2020/4/24,1,83
2020/4/24,2,64
2020/4/24,3,61
2020/4/24,4,35
2020/4/24,5,39
2020/4/24,6,21
2020/4/24,7,32
2020/4/24,8,18
2020/5/1,1,101
2020/5/1,2,69
2020/5/1,3,44
2020/5/1,4,32
2020/5/1,5,52
2020/5/1,6,21
2020/5/1,7,29
2020/5/1,8,19
2020/5/8,1,21
2020/5/8,2,21
2020/5/8,3,10
2020/5/8,4,3
2020/5/8,5,10
2020/5/8,6,4
2020/5/8,7,5
2020/5/8,8,1
2020/5/15,1,84
2020/5/15,2,45
2020/5/15,3,48
2020/5/15,4,31
2020/5/15,5,47
2020/5/15,6,14
2020/5/15,7,44
2020/5/15,8,15
2020/5/22,1,97
2020/5/22,2,98
2020/5/22,3,71
2020/5/22,4,47
2020/5/22,5,87
2020/5/22,6,18
2020/5/22,7,55
2020/5/22,8,17
2020/5/29,1,162
2020/5/29,2,185
2020/5/29,3,127
2020/5/29,4,247
2020/5/29,5,11
2020/5/29,6,34
2020/5/29,7,103
2020/5/29,8,52
