基準日,相談件数（県）,相談件数（国）,申請書提出件数,支給決定件数
2020/2/21,,35,,
2020/2/28,,5,,
2020/3/6,,102,,
2020/3/13,,144,,
2020/3/20,,94,,
2020/3/27,,177,,
2020/4/3,,160,,
2020/4/10,0,430,0,0
2020/4/17,0,553,7,0
2020/4/24,3,311,4,4
2020/5/1,83,230,18,0
2020/5/8,49,393,24,12
2020/5/15,77,438,145,63
2020/5/22,115,372,142,96
2020/5/29,50,269,335,122
2020/6/5,24,136,479,219
2020/6/12,34,91,595,360
2020/6/19,16,85,568,739
2020/6/26,18,59,589,788
2020/7/3,14,7,691,579
2020/7/10,10,10,674,589
2020/7/17,17,12,669,613
2020/7/24,4,1,381,307
2020/7/31,4,5,696,532
2020/8/7,7,4,592,628
2020/8/14,3,4,483,453
2020/8/21,4,3,674,818
2020/8/28,11,4,885,918
2020/9/4,2,4,914,819
2020/9/11,0,5,452,658
2020/9/18,0,1,617,783
2020/9/25,0,1,355,392
2020/10/2,0,1,1105,580
2020/10/9,0,5,588,740
2020/10/16,0,2,483,826
2020/10/23,0,0,452,568
2020/10/30,0,1,544,437
2020/11/6,0,0,380,391
2020/11/13,0,2,383,374
2020/11/20,0,0,400,321
2020/11/27,0,3,314,280
2020/12/4,0,6,556,355
2020/12/11,0,0,370,500
2020/12/18,0,0,461,609
2020/12/25,0,0,424,618
2021/1/1,0,0,135,78
2021/1/8,0,2,420,371
2021/1/15,0,7,384,406
2021/1/22,0,1,426,390
2021/1/29,0,4,497,408
2021/2/5,0,5,450,473
2021/2/12,0,6,340,422
2021/2/19,0,8,545,415
2021/2/26,0,4,424,361
2021/3/5,0,1,562,373
2021/3/12,0,2,498,292
2021/3/19,0,1,485,535
2021/3/26,0,3,430,522
2021/4/2,0,1,642,496
2021/4/9,0,0,402,458
2021/4/16,0,4,373,442
2021/4/23,0,2,439,399
2021/4/30,0,5,312,374
2021/5/7,0,1,241,107
2021/5/14,0,9,622,420
2021/5/21,0,15,544,570
2021/5/28,0,0,549,702
2021/6/4,0,3,458,629
2021/6/11,0,12,421,454
2021/6/18,0,7,423,488
2021/6/25,0,4,412,293
2021/7/2,0,3,457,461
2021/7/9,0,0,443,441
2021/7/16,0,4,481,546
2021/7/23,0,0,272,422
2021/7/30,0,3,608,488
2021/8/6,0,1,684,597
2021/8/13,0,1,434,301
2021/8/20,0,1,358,465
2021/8/27,0,14,457,600
2021/9/3,0,5,488,538
2021/9/10,0,4,451,507
2021/9/17,0,1,468,521
2021/9/24,0,3,355,303
2021/10/1,0,4,564,603
2021/10/8,0,0,574,677
2021/10/15,0,2,613,596
2021/10/22,0,1,452,565
2021/10/29,0,2,494,550
2021/11/5,0,0,453,329
2021/11/12,0,1,516,440
2021/11/19,0,3,368,468
2021/11/26,0,0,358,455
2021/12/3,0,0,626,440
2021/12/10,0,1,445,613
2021/12/17,0,0,380,474
2021/12/24,0,2,382,341
2021/12/31,0,0,165,118
2022/1/7,0,0,414,251
2022/1/14,0,5,337,308
2022/1/21,0,1,385,457
2022/1/28,0,11,365,422
2022/2/4,0,4,444,366
2022/2/11,0,6,283,358
2022/2/18,0,1,359,352
2022/2/25,0,4,305,291
2022/3/4,0,2,518,318
2022/3/11,0,3,386,375
2022/3/18,0,2,451,366
2022/3/25,0,1,297,306
2022/4/1,0,1,466,318
2022/4/8,0,0,466,391
2022/4/15,0,0,438,375
2022/4/22,0,0,445,423
2022/4/29,0,3,299,394
2022/5/6,0,0,243,186
2022/5/13,0,0,483,564
2022/5/20,0,1,347,439
2022/5/27,0,2,373,395
2022/6/3,0,0,451,508
2022/6/10,0,1,293,494
2022/6/17,0,0,282,305
2022/6/24,0,1,299,416
2022/7/1,0,2,413,407
2022/7/8,0,2,366,361
2022/7/15,0,3,263,339
2022/7/22,0,0,229,332
2022/7/29,0,1,370,270
2022/8/5,0,0,339,268
2022/8/12,0,7,256,236
2022/8/19,0,3,248,267
2022/8/26,0,0,298,338
2022/9/2,0,9,434,351
2022/9/9,0,1,268,276
2022/9/16,0,0,249,354
2022/9/22,0,1,146,140
2022/9/30,0,0,397,314
2022/10/7,0,,366,267
2022/10/14,0,,241,311
2022/10/21,0,,349,471
2022/10/28,0,,248,292
